pID,condition,section,seenRed,seenBlue,e0,e10,e20,e30,e40,e50,e60,e70,e80,e90,e100,age,gender,botCheck,time,chipsOrder,actuallyEstimated
1,five,five,4,1,0.0846,0.0754,0.0708,0.1136,0.0205,0.0953,0.0113,0.4984,0.0189,0.0113,0,37,female,1,179.43,22221,1
2,unlimited,unlimited,24,6,0,0,0,0,0,0,0.0972,0.1888,0.3581,0.3559,0,27,male,1,195.05,221221222222212000000000000000,1
3,all,five,4,1,0,0,0.0456,0.0737,0.1373,0.2033,0.211,0.196,0.0825,0.043,0.0075,31,female,1,329.47,22122,1
3,all,prior,0,0,0.0445,0.0553,0.1163,0.1439,0.1779,0.1362,0.1033,0.0922,0.077,0.0391,0.0144,31,female,1,329.47,,1
3,all,unlimited,13,3,0.0347,0.0282,0,0.0802,0.1156,0.1019,0.1942,0.1639,0.1379,0.0919,0.0514,31,female,1,329.47,2212212222122220,1
4,five,five,4,1,0.0437,0.104,0.1206,0.0166,0.1102,0.104,0.0146,0.1767,0.0936,0.0125,0.2037,44,female,1,214.8,21222,0
5,unlimited,unlimited,16,4,0,0,0.0089,0,0,0,0,0,0.9911,0,0,26,female,1,217.16,22212221222221200000,1
6,five,five,4,1,0,0,0,0.0002,0.0693,0.0454,0,0.0033,0.7971,0.0501,0.0345,28,male,1,61.65,22212,1
7,five,five,4,1,0.0082,0.0082,0.0082,0.0082,0.0082,0.0079,0.0228,0.0814,0.7897,0.051,0.0062,24,male,1,281.2,22221,1
8,unlimited,unlimited,20,5,0,0.0146,0.0019,0.0422,0.0104,0,0,0.1015,0.8062,0.0231,0,42,male,0,381.7,1222221222221220000000000,1
9,all,five,4,1,0.0375,0.0079,0.1795,0.0394,0.1105,0.1598,0.0158,0.0947,0.1302,0.1874,0.0375,22,male,1,115.64,22122,0
9,all,prior,0,0,0.1014,0.0812,0.1014,0.1,0.0406,0.0681,0.1261,0.1319,0.0797,0.1174,0.0522,22,male,1,115.64,,0
9,all,unlimited,11,2,0.1105,0.0559,0.0253,0.0896,0.1202,0.0623,0.0173,0.088,0.1776,0.1073,0.1459,22,male,1,115.64,2212221222222,1
10,five,five,4,1,0,0,0,0,0,0,0,0,0.73,0.27,0,22,female,1,146.62,22221,1
11,all,five,4,1,0.0133,0.0167,0.02,0.03,0.0267,0.0533,0.0958,0.1609,0.2967,0.1967,0.09,37,male,1,230.75,22221,1
11,all,prior,0,0,0.0303,0.0715,0.082,0.0968,0.1422,0.1945,0.1537,0.1048,0.0615,0.0325,0.0303,37,male,1,230.75,,1
11,all,unlimited,9,2,0,0,0,0,0.0433,0.0667,0.0833,0.1557,0.4476,0.1567,0.0467,37,male,1,230.75,22221212222,1
12,unlimited,unlimited,8,2,0.0506,0.001,0.1457,0.001,0.001,0.001,0.001,0.001,0.7958,0.001,0.001,36,female,1,780,2221222221,1
13,five,five,4,1,0.0008,0.0127,0.03,0.0373,0.0617,0.0706,0.1783,0.1999,0.2083,0.1704,0.03,25,male,1,166.27,22122,1
14,unlimited,unlimited,36,9,0.0007,0.0007,0.0007,0.0032,0.0007,0.0007,0.0007,0.0007,0.988,0.0007,0.0028,29,male,1,419.78,212222122221222000000000000000000000000000000,1
15,unlimited,unlimited,7,2,0,0,0.0229,0.0355,0.0427,0.0805,0.6901,0,0.0553,0.0212,0.0517,20,male,1,144.25,122221222,1
16,unlimited,unlimited,17,4,0.0025,0.0019,0.0019,0.0019,0.0025,0.0027,0.0019,0.1272,0.4565,0.3993,0.0019,32,female,1,620.71,221222212212222000000,1
17,five,five,4,1,0.002,0.0419,0.0703,0,0.0954,0.1303,0.0503,0.1219,0.4124,0.072,0.0034,19,male,1,299.93,22212,1
18,all,five,4,1,0,0,0,0,0,0.002,0,0,0.998,0,0,60,female,1,234.5,12222,1
18,all,prior,0,0,0,0,0.0028,0.0816,0.0165,0.0713,0,0.7974,0,0,0.0302,60,female,1,234.5,,1
18,all,unlimited,9,3,0,0,0.0029,0,0,0,0,0,0.9971,0,0,60,female,1,234.5,122221222221,1
19,all,five,4,1,0.0965,0,0.0416,0.1514,0,0.1834,0.4966,0,0.0301,0,0.0004,31,male,1,740.5,22221,1
