pID,condition,e0,e10,e20,e30,e40,e50,e60,e70,e80,e90,e100,age,gender,botCheck,actuallyEstimated
1,uniform,0.0227,0.0227,0.0227,0.0227,0.0227,0.0227,0.0227,0.076,0.6973,0.0452,0.0227,25,nb,1,1
2,peaked,0.0133,0.0724,0.0133,0.0133,0.0316,0.0663,0.0858,0.0133,0.5051,0.0668,0.1187,21,secret,1,1
3,peaked,0.0295,0.0608,0.1597,0.1354,0.0069,0.1563,0.1649,0.026,0.1181,0.0903,0.0521,21,both,1,0
4,uniform,0.0023,0.0019,0.0029,0.049,0.1445,0.1976,0.1988,0.1469,0.2049,0.049,0.0023,21,female,1,1
5,uniform,0.0026,0.1757,0.0507,0.1479,0.0487,0.0567,0.0924,0.2931,0.017,0.0388,0.0765,37,female,1,1
6,uniform,0,0.0188,0.0752,0.0667,0,0.0663,0.269,0.4746,0.0293,0,0,20,female,1,1
7,uniform,0.0317,0.0265,0.0208,0.0109,0.0208,0.0208,0.0068,0.0208,0.7995,0.0208,0.0208,19,female,1,1
8,uniform,0.0035,0.0148,0.0596,0.0829,0.1086,0.1716,0.1989,0.2717,0.0717,0.005,0.0117,30,female,1,1
9,uniform,0.0081,0.0081,0.0081,0.0081,0.0081,0.0081,0.074,0.1901,0.2107,0.466,0.0103,20,female,1,1
10,uniform,0.0018,0,0.0008,0.0261,0.0261,0.1514,0.3068,0.4085,0.0261,0.0261,0.0261,22,female,1,1
11,uniform,0,0.0434,0,0.0649,0,0,0,0.695,0.1102,0.0865,0,25,female,1,1
12,uniform,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.8874,0.011,0.0136,19,female,1,1
13,uniform,0.0057,0.0057,0.0057,0.2751,0.0057,0.0057,0.0359,0.0057,0.4381,0.0057,0.2112,18,female,1,1
14,uniform,0,0.01,0.01,0.01,0.006,0.124,0.2425,0.4197,0.164,0.014,0,26,female,1,1
15,uniform,0.0004,0.06,0.1087,0.1488,0.1532,0.1394,0.1479,0.0911,0.0781,0.072,0.0004,28,female,1,1
16,uniform,0.0017,0.0017,0.019,0.0318,0.08,0.089,0.3982,0.2674,0.108,0.0017,0.0017,23,female,0,1
17,uniform,0.0031,0.0842,0.0938,0.085,0.0715,0.1644,0.0958,0.0981,0.1526,0.1513,0.0002,24,female,1,1
18,uniform,0.1587,0.0025,0.1662,0.1008,0.0781,0.1436,0.1159,0.0252,0.1008,0.1083,0,18,female,1,0
19,uniform,0.0035,0.1746,0.1041,0.0176,0.1217,0.1182,0.1235,0.0829,0.1235,0.0423,0.0882,23,female,0,0
20,uniform,0.0054,0.0054,0.0054,0.0054,0.0054,0.1273,0.1749,0.4072,0.2129,0.0452,0.0054,25,female,1,1
21,uniform,0.0843,0.0412,0.1294,0.149,0.1608,0.1137,0.0804,0.0235,0.1216,0.0431,0.0529,28,female,1,0
22,uniform,0.0352,0.1484,0.0332,0.0625,0.0723,0.1016,0.0059,0.1914,0.1211,0.1602,0.0684,18,female,1,0
23,uniform,0.023,0.0192,0.0668,0.0861,0.0248,0.0192,0.4963,0.0689,0.0686,0.0614,0.0656,20,female,1,1
24,uniform,0.0223,0.0336,0.0364,0.053,0.0853,0.1038,0.1555,0.214,0.1673,0.1277,0.0013,20,female,1,1
25,uniform,0.0008,0.0763,0.0706,0.0772,0.1396,0.1635,0.1636,0.1025,0.0985,0.0769,0.0305,31,female,1,1
26,uniform,0.0019,0.0323,0.0327,0.0348,0.0304,0.0842,0.1372,0.2119,0.2606,0.1718,0.0023,19,female,1,1
27,uniform,0.0217,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.0133,0.8583,0.0133,0.0133,39,female,1,1
28,uniform,0.0031,0.0278,0.0439,0.0647,0.0837,0.1003,0.1571,0.1999,0.2389,0.0793,0.0012,27,female,1,1
29,uniform,0,0,0,0,0.0233,0.03,0.1841,0.2899,0.2867,0.186,0,20,female,1,1
30,uniform,0.0756,0.0216,0.0389,0.0972,0.1663,0.1145,0.1123,0.0734,0.0086,0.1728,0.1188,27,female,1,0
31,uniform,0.0483,0.091,0,0.1101,0,0.0807,0.4298,0.0147,0.1171,0.0468,0.0616,29,female,0,1
32,uniform,0.0912,0.0909,0.0959,0.0918,0.0893,0.0925,0.0931,0.089,0.0868,0.0901,0.0894,20,female,1,1
33,uniform,0.094,0.0946,0.0914,0.0933,0.0929,0.0881,0.0877,0.0887,0.0923,0.0908,0.0862,24,female,1,1
34,uniform,0.0369,0.0931,0.0658,0.0963,0.1236,0.1429,0.1316,0.1268,0.0128,0.1236,0.0465,41,female,0,0
