pID,condition,section,seenRed,seenBlue,e0,e10,e20,e30,e40,e50,e60,e70,e80,e90,e100,age,gender,botCheck,time,chipsOrder,actuallyEstimated
1,given,posterior,4,1,0.0004,0.0004,0.0004,0.0004,0.0167,0.0604,0.2237,0.2859,0.4112,0.0004,0.0004,28,female,1,202.12,22221,1
2,estimated,prior,4,1,0.075,0.0726,0.0726,0.0726,0.0726,0.0643,0.0726,0.1889,0.0726,0.0726,0.1633,24,female,1,224.4,12222,1
2,estimated,posterior,4,1,0.0016,0.0682,0.0933,0.0482,0.027,0.2199,0.1377,0.1361,0.1303,0.1358,0.0018,24,female,1,224.4,12222,1
3,given,posterior,4,1,0.0861,0.1098,0.0557,0.0912,0.1672,0.1064,0.1182,0.076,0.0743,0.1047,0.0101,19,male,1,47.03,21222,0
4,estimated,prior,4,1,0.0229,0.057,0.0682,0.0944,0.1504,0.2017,0.169,0.0975,0.0689,0.046,0.0239,20,male,1,346.14,21222,1
4,estimated,posterior,4,1,0.0009,0.034,0.0559,0.0655,0.0712,0.094,0.1213,0.1849,0.215,0.1566,0.0008,20,male,1,346.14,21222,1
5,given,posterior,4,1,0.0363,0.0363,0.1093,0.0363,0.0363,0.0363,0.0822,0.5178,0.0363,0.0363,0.0363,19,male,1,137.36,21222,1
6,estimated,prior,4,1,0.081,0.0013,0.0013,0.0527,0.0013,0.4859,0.0866,0.0781,0.0527,0.0894,0.0696,41,male,1,233.7,21222,1
6,estimated,posterior,4,1,0.0482,0,0.0819,0.0739,0.0226,0.4937,0.0242,0,0.1157,0.0611,0.0787,41,male,1,233.7,21222,1
7,given,posterior,4,1,0.1149,0,0.0914,0.0764,0.068,0.4555,0.063,0.0378,0,0,0.0931,27,female,1,137.33,22212,1
8,given,posterior,4,1,0.1256,0.0972,0.1043,0.0237,0.0379,0.0237,0.1185,0.2014,0.0664,0.109,0.0924,24,female,1,130.71,22122,0
9,estimated,prior,4,1,0.0045,0.0311,0.0837,0.0311,0.054,0.4657,0.1351,0.0311,0.0603,0.0311,0.0723,21,female,1,199.26,22122,1
9,estimated,posterior,4,1,0.0233,0.0233,0.05,0.061,0.2276,0.2474,0.2806,0.0167,0.0167,0.0233,0.03,21,female,1,199.26,22122,1
10,estimated,prior,4,1,0.0731,0.1345,0.0219,0.1201,0.0233,0.4619,0.0736,0.0219,0.0219,0.0219,0.026,26,female,1,351.78,22221,1
10,estimated,posterior,4,1,0.0007,0.0007,0.0248,0.0007,0.0007,0.0007,0.0362,0.0453,0.7942,0.0007,0.0955,26,female,1,351.78,22221,1
11,given,posterior,4,1,0.0193,0.0396,0.0667,0.1083,0.1565,0.2278,0.1535,0.1057,0.066,0.0364,0.0202,22,female,1,161.23,12222,1
12,estimated,prior,4,1,0.0616,0.0088,0.0088,0.0088,0.0887,0.0542,0.0088,0.5615,0.1304,0.0594,0.0088,18,male,1,260.02,21222,1
12,estimated,posterior,4,1,0.0197,0.0197,0.0206,0.0197,0.0197,0.0197,0.0197,0.0197,0.0197,0.8024,0.0197,18,male,1,260.02,21222,1
13,given,posterior,4,1,0.0017,0.0017,0.0017,0.0017,0.0017,0.29,0.0017,0.4475,0.2492,0.0017,0.0017,25,female,1,300.67,21222,1
14,estimated,prior,4,1,0,0.043,0.0313,0.4937,0.1427,0,0.0097,0.0489,0,0.1252,0.1056,34,male,1,296.27,21222,1
14,estimated,posterior,4,1,0,0.0338,0,0.4927,0.0464,0.1282,0.0401,0.1303,0.1156,0,0.0129,34,male,1,296.27,21222,1
15,estimated,prior,4,1,0.0005,0.0331,0.0854,0.1461,0.1509,0.2836,0.146,0.0963,0.0313,0.0263,0.0005,21,female,1,443.25,22221,1
15,estimated,posterior,4,1,0.0013,0.0013,0.0347,0.0343,0.0898,0.135,0.3307,0.1864,0.1442,0.0411,0.0013,21,female,1,443.25,22221,1
16,given,posterior,4,1,0.0002,0.1105,0.1115,0.161,0.1,0.177,0.1134,0.1137,0.0534,0.0575,0.0019,19,male,0,157.53,22221,1
17,given,posterior,4,1,0.0264,0.055,0.076,0.1136,0.1396,0.1874,0.1399,0.1125,0.0714,0.0541,0.0241,22,male,0,268.29,21222,1
18,given,posterior,4,1,0.0586,0.0333,0.0179,0.0794,0.0989,0.1157,0.2149,0.1235,0.0864,0.1444,0.0271,43,male,1,85.16,12222,1
19,given,posterior,4,1,0.0597,0.0085,0,0.1016,0.0442,0.4998,0.1079,0.0535,0.0892,0.0023,0.0333,25,female,1,150.31,22212,1
20,estimated,prior,4,1,0.0798,0.0023,0.0023,0.0439,0.1139,0.4972,0.0421,0.0511,0.0023,0.087,0.078,24,female,1,318.31,12222,1
20,estimated,posterior,4,1,0.0393,0.006,0.1373,0.006,0.006,0.5953,0.006,0.006,0.0161,0.006,0.1759,24,female,1,318.31,12222,1
21,given,posterior,4,1,0,0,0,0,0,0.02,0.08,0.3103,0.4097,0.18,0,18,female,1,185.93,12222,1
22,given,posterior,4,1,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.1337,0.6927,0.1549,0.0023,22,male,1,124.53,12222,1
23,given,posterior,4,1,0.0271,0.0271,0.0649,0.0964,0.0271,0.0397,0.1042,0.0302,0.4945,0.0192,0.0696,27,male,1,348.56,22212,1
24,estimated,prior,4,1,0.0236,0.1609,0.1441,0.1262,0.1187,0.1045,0.0945,0.0754,0.0619,0.0536,0.0368,19,female,1,364.77,22212,1
24,estimated,posterior,4,1,0.0092,0.0092,0.0326,0.0354,0.0693,0.0981,0.1554,0.2307,0.3416,0.0092,0.0092,19,female,1,364.77,22212,1
25,given,posterior,4,1,0.002,0.0031,0.0004,0.0008,0.0686,0.2303,0.2779,0.2841,0.1139,0.0182,0.0005,21,nonbinary,1,306.95,22122,1
26,estimated,prior,4,1,0.051,0.0613,0.0623,0.0469,0.047,0.4988,0.0515,0.039,0.0407,0.0493,0.0523,43,male,1,389.1,21222,1
26,estimated,posterior,4,1,0,0,0,0,0,0,0,0,0.9972,0,0.0028,43,male,1,389.1,21222,1
27,given,posterior,4,1,0.0027,0.0027,0.0368,0.0581,0.1817,0.3478,0.2456,0.0835,0.0358,0.0027,0.0027,22,female,1,146.23,21222,1
28,given,posterior,4,1,0.0011,0.0007,0.057,0.0648,0.0946,0.1735,0.2264,0.2708,0.0847,0.0255,0.0008,34,male,1,218.44,22122,1
29,given,posterior,4,1,0.0117,0.0117,0.0191,0.0117,0.1207,0.1909,0.3454,0.1623,0.0834,0.0421,0.001,33,male,1,141.78,22212,1
30,given,posterior,4,1,0.0307,0.0021,0.0019,0.0307,0.0029,0.0415,0.0024,0.0307,0.7959,0.0307,0.0307,42,female,1,127.83,22221,1
31,given,posterior,4,1,0.0029,0.002,0.002,0.0033,0.0267,0.1873,0.5298,0.14,0.0423,0.0386,0.0251,21,female,1,208.24,22122,1
32,given,posterior,4,1,0.0013,0.0013,0.0013,0.0013,0.02,0.04,0.09,0.15,0.4533,0.24,0.0013,19,male,1,1015.05,21222,1
33,given,posterior,4,1,0.1111,0.1394,0.0747,0.1576,0.0404,0.0061,0.0263,0.1697,0.099,0.0747,0.101,19,male,1,59.66,12222,0
34,given,posterior,4,1,0.0006,0.0407,0.079,0.085,0.1021,0.1599,0.2047,0.1492,0.099,0.0788,0.0009,20,male,1,194.36,21222,1
35,estimated,prior,4,1,0,0.1029,0.0713,0.0901,0.05,0.1153,0.1528,0.1858,0.203,0.0285,0.0003,22,male,1,444.23,22212,1
35,estimated,posterior,4,1,0,0,0,0,0,0,0.2344,0.3196,0.3456,0.1004,0,22,male,1,444.23,22212,1
36,given,posterior,4,1,0,0.0137,0.0242,0.0483,0.0951,0.1404,0.1999,0.3951,0.0683,0.015,0,38,female,1,584.86,12222,1
