"","pID","condition","section","seenRed","seenBlue","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","time","chipsOrder","actuallyEstimated","selected"
"1","3","all","five",4,1,0,0,0.0456,0.0737,0.1373,0.2033,0.211,0.196,0.0825,0.043,0.0075,31,"female",1,329.47,22122,1,5
"2","3","all","prior",0,0,0.0445,0.0553,0.1163,0.1439,0.1779,0.1362,0.1033,0.0922,0.077,0.0391,0.0144,31,"female",1,329.47,NA,1,0
"3","3","all","unlimited",13,3,0.0347,0.0282,0,0.0802,0.1156,0.1019,0.1942,0.1639,0.1379,0.0919,0.0514,31,"female",1,329.47,2212212222122220,1,16
"4","11","all","five",4,1,0.0133,0.0167,0.02,0.03,0.0267,0.0533,0.0958,0.1609,0.2967,0.1967,0.09,37,"male",1,230.75,22221,1,5
"5","11","all","prior",0,0,0.0303,0.0715,0.082,0.0968,0.1422,0.1945,0.1537,0.1048,0.0615,0.0325,0.0303,37,"male",1,230.75,NA,1,0
"6","11","all","unlimited",9,2,0,0,0,0,0.0433,0.0667,0.0833,0.1557,0.4476,0.1567,0.0467,37,"male",1,230.75,22221212222,1,11
"7","18","all","five",4,1,0,0,0,0,0,0.002,0,0,0.998,0,0,60,"female",1,234.5,12222,1,5
"8","18","all","prior",0,0,0,0,0.0028,0.0816,0.0165,0.0713,0,0.7974,0,0,0.0302,60,"female",1,234.5,NA,1,0
"9","18","all","unlimited",9,3,0,0,0.0029,0,0,0,0,0,0.9971,0,0,60,"female",1,234.5,122221222221,1,12
"10","19","all","five",4,1,0.0965,0,0.0416,0.1514,0,0.1834,0.4966,0,0.0301,0,4e-04,31,"male",1,740.5,22221,1,5
"11","19","all","prior",0,0,0.0938,0.103,0.0754,0.144,0.0157,0.4984,0,0,0.0157,0.054,0,31,"male",1,740.5,NA,1,0
"12","19","all","unlimited",22,5,0,0.0592,0,0,0.1149,0,0.0267,0.6982,0.101,0,0,31,"male",1,740.5,2.22212212221222e+26,1,27
"13","27","all","five",4,1,3e-04,0.0466,0.074,3e-04,3e-04,0.0968,0.4953,0.1653,0.0831,0.0375,3e-04,22,"male",1,160.41,22212,1,5
"14","27","all","prior",0,0,0.1007,0.0166,0.1077,0.0359,0.2612,0.0867,0.0989,0.1042,0.0779,0.0744,0.0359,22,"male",1,160.41,NA,1,0
"15","27","all","unlimited",11,3,0,0.0808,0,0.0895,0.0791,0.0687,0,0.1017,0.4914,0.0861,0.0026,22,"male",1,160.41,22212122222212,1,14
"16","29","all","five",4,1,0.0852,0.0128,0.08,0.0826,0.1395,0.0904,0.0023,0.0387,0.1291,0.2852,0.0542,40,"male",1,170.87,22122,1,5
"17","29","all","prior",0,0,0.0331,0.097,0.0754,0.0851,0.1028,0.1216,0.2011,0.0659,0.0665,0.0806,0.0709,40,"male",1,170.87,NA,1,0
"18","29","all","unlimited",8,2,0.002,0.0126,0.139,0.0492,0.1243,0.1335,0.1243,0.1445,0.0676,0.1885,0.0145,40,"male",1,170.87,2212222122,1,10
"19","31","all","five",4,1,0.0028,0.1878,6e-04,2e-04,0.0031,0.0058,0.0026,0.0026,0.7921,4e-04,0.002,42,"male",1,247.88,12222,1,5
"20","31","all","prior",0,0,0.0063,0.0063,0.0063,0.0063,0.3967,0.0063,0.0063,0.5463,0.0063,0.0063,0.0063,42,"male",1,247.88,NA,1,0
"21","31","all","unlimited",10,3,0.0026,0.0012,0.1945,0.001,0,0,0.0014,0.0014,0.798,0,0,42,"male",1,247.88,1222222212212,1,13
"22","38","all","five",4,1,0.0027,0.002,0.0026,0.0367,0.0629,0.1104,0.1487,0.1989,0.2532,0.1813,6e-04,46,"male",1,347.91,21222,1,5
"23","38","all","prior",0,0,0.0314,0.0495,0.0628,0.0941,0.1435,0.225,0.1639,0.093,0.0591,0.0581,0.0197,46,"male",1,347.91,NA,1,0
"24","38","all","unlimited",4,1,0.0053,3e-04,0.0019,0.0487,0.0835,0.1,0.1282,0.1781,0.262,0.1841,0.0079,46,"male",1,347.91,21222,1,5
"25","40","all","five",4,1,7e-04,0.3536,0.2878,0.2222,0.0756,0.0489,0.0016,0.0016,0.0033,0.0029,0.0017,41,"female",1,436.36,12222,1,5
"26","40","all","prior",0,0,0,0.5066,0.2455,0.1645,0.0833,0,0,0,0,0,0,41,"female",1,436.36,NA,1,0
"27","40","all","unlimited",28,7,5e-04,0.0025,0.0015,0.0031,0.0855,0.2995,0.601,8e-04,0.0022,4e-04,0.003,41,"female",1,436.36,1.22222122212222e+34,1,35
"28","47","all","five",4,1,0,0,0,0,0.0467,0.1252,0.1897,0.3188,0.3197,0,0,21,"male",1,231.01,22212,1,5
"29","47","all","prior",0,0,0.0028,0.0046,0.0029,0.0032,0.2431,0.4967,0.2422,0.0011,0.002,8e-04,6e-04,21,"male",1,231.01,NA,1,0
"30","47","all","unlimited",30,7,0,0,0,0,0,0,0,0,1,0,0,21,"male",1,231.01,2.22122222112222e+36,1,37
"31","58","all","five",4,1,0.0157,0.0157,0.0157,0.0157,0.0157,0.0733,0.1023,0.1512,0.3869,0.2076,0,30,"female",1,282.01,22122,1,5
"32","58","all","prior",0,0,0,0.0849,0.1045,0.2072,0.2585,0.345,0,0,0,0,0,30,"female",1,282.01,NA,1,0
"33","58","all","unlimited",20,5,0,0,0,0,0,0,0,0.3833,0.5224,0.0942,0,30,"female",1,282.01,2.21222221221222e+24,1,25
"34","65","all","five",4,1,0,0,0,0,0,0,0,0.3167,0.3633,0.32,0,24,"male",1,301.75,22221,1,5
"35","65","all","prior",0,0,7e-04,0.007,0.03,0.0926,0.2211,0.2752,0.2196,0.1135,0.0315,0.0081,7e-04,24,"male",1,301.75,NA,1,0
"36","65","all","unlimited",12,3,4e-04,0,0,0,0,0,0,0,0.9996,0,0,24,"male",1,301.75,222211222212222,1,15
"37","66","all","five",4,1,0.0028,0.0078,0.0334,0.0545,0.0914,0.14,0.2268,0.2912,0.1197,0.0268,0.0057,36,"male",1,679.54,12222,1,5
"38","66","all","prior",0,0,0.0199,0.1241,0.2241,0.27,0.1689,0.1392,0.0199,0.0199,0.0096,0.0036,0.001,36,"male",1,679.54,NA,1,0
"39","66","all","unlimited",19,5,0.0022,2e-04,5e-04,0.0019,0.0206,0.0915,0.1657,0.2365,0.3695,0.1106,9e-04,36,"male",1,679.54,1.22221222222212e+23,1,24
"40","69","all","five",4,1,0.0107,0.0322,0.0574,0.0107,0.0107,0.0322,0.0682,0.701,0.0556,0.0107,0.0107,19,"female",1,170.3,12222,1,5
