"","pID","condition","section","seenRed","seenBlue","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","time","chipsOrder","actuallyEstimated"
"1","1","five","five",4,1,0.0846,0.0754,0.0708,0.1136,0.0205,0.0953,0.0113,0.4984,0.0189,0.0113,0,37,"female",1,179.43,22221,1
"2","6","five","five",4,1,0,0,0,2e-04,0.0693,0.0454,0,0.0033,0.7971,0.0501,0.0345,28,"male",1,61.65,22212,1
"3","7","five","five",4,1,0.0082,0.0082,0.0082,0.0082,0.0082,0.0079,0.0228,0.0814,0.7897,0.051,0.0062,24,"male",1,281.2,22221,1
"4","10","five","five",4,1,0,0,0,0,0,0,0,0,0.73,0.27,0,22,"female",1,146.62,22221,1
"5","13","five","five",4,1,8e-04,0.0127,0.03,0.0373,0.0617,0.0706,0.1783,0.1999,0.2083,0.1704,0.03,25,"male",1,166.27,22122,1
"6","17","five","five",4,1,0.002,0.0419,0.0703,0,0.0954,0.1303,0.0503,0.1219,0.4124,0.072,0.0034,19,"male",1,299.93,22212,1
"7","22","five","five",4,1,0.005,0.1352,0.0808,0.0731,0.005,0.4929,0.0168,0.0129,0.0964,0.077,0.005,32,"female",1,107.93,22212,1
"8","23","five","five",4,1,0.0012,0.0012,0.01,0,0.0673,0.0776,0.0936,0.3555,0.388,0.0056,0,41,"female",1,180.18,12222,1
"9","24","five","five",4,1,0.0446,0.0499,0.0053,0.0053,0.0257,0.0053,0.0053,0.0082,0.7947,0.0109,0.0446,21,"male",1,301.7,22212,1
"10","25","five","five",4,1,0.0023,0.0095,0.0095,0.0095,0.0095,0.3495,0.2905,0.2,0.1095,0.0095,5e-04,25,"male",1,146.51,22122,1
"11","28","five","five",4,1,9e-04,0.0023,0.0053,0.0073,0.0081,0.0969,0.0909,0.0948,0.3962,0.2041,0.0931,30,"female",1,102.18,22212,1
"12","33","five","five",4,1,4e-04,4e-04,4e-04,4e-04,4e-04,4e-04,4e-04,0.0016,0.5991,0.3963,4e-04,20,"male",1,125.42,12222,1
"13","35","five","five",4,1,0.0329,0.0439,0,0.0137,0.0329,0.0302,0.0507,0,0.7958,0,0,27,"female",1,206.95,22221,1
"14","36","five","five",4,1,0.0027,0.0068,0.04,0.0433,0.0692,0.0947,0.2553,0.3911,0.0633,0.0267,0.0068,25,"male",1,96.36,22122,1
"15","44","five","five",4,1,0.0028,0.0028,0.0028,0.0028,0.0845,0.2164,0.1421,0.3266,0.185,0.0315,0.0028,18,"male",1,142.38,22212,1
"16","45","five","five",4,1,0,0,0,0.0233,0.68,0.2133,0.0833,0,0,0,0,23,"male",1,150.73,12222,1
"17","48","five","five",4,1,0,0,0,0,0.0863,0.1453,0.197,0.3496,0.1856,0.0361,0,20,"female",1,228.38,22212,1
"18","52","five","five",4,1,0.0348,0.0227,0.0209,0.0157,0.0671,0.099,0.1367,0.1765,0.2148,0.1214,0.0904,27,"male",1,223.99,22122,1
"19","56","five","five",4,1,0.0242,0.0242,0.07,0.0943,0.1215,0.0242,0.1722,0.2573,0.1667,0.0456,0,26,"female",1,129.88,22221,1
"20","59","five","five",4,1,0,0,0,0.0133,0.0333,0.157,0.2873,0.4623,0.0333,0.0133,0,37,"female",1,168.6,22122,1
"21","60","five","five",4,1,0.1373,0.0754,0.0989,0.007,0.0625,6e-04,0.0793,0.4008,0.0857,0.0027,0.0497,25,"male",1,82.52,21222,1
"22","68","five","five",4,1,0.0033,0.0033,0.0033,0.0033,0.0033,0.0212,0.1838,0.2939,0.3861,0.095,0.0033,19,"male",1,311.12,21222,1
"23","70","five","five",4,1,0,0,0.002,0,0,0,0.0083,0,0.0067,0.983,0,27,"female",1,81.54,22122,1
"24","72","five","five",4,1,0.0037,0.019,0.037,0.0564,0.1395,0.1218,0.1919,0.1902,0.1415,0.0958,0.0033,30,"female",1,334.47,22212,1
"25","74","five","five",4,1,0.0115,0.0115,0.0115,0.0115,0.0115,0.0115,0.0115,0.0115,0.0115,0.896,3e-04,22,"female",1,151.09,22221,1
"26","77","five","five",4,1,0,0.0041,0.0075,0.0147,0.0213,0.026,0.0345,0.0477,0.7939,0.0493,0.001,27,"male",1,322,12222,1
"27","80","five","five",4,1,0.02,0.0433,0.0567,0.0733,0.102,0.1188,0.1447,0.1857,0.2155,0.02,0.02,25,"male",1,211.16,22221,1
"28","82","five","five",4,1,0.0911,0.1215,0.0987,0.043,0.043,0.1082,0.043,0.043,0.1537,0.1542,0.1006,21,"male",1,92.68,22122,1
"29","86","five","five",4,1,0,6e-04,0,0,0,0,0.0019,0.9976,0,0,0,55,"female",1,88.9,12222,1
"30","87","five","five",4,1,0.004,0.004,0.004,0.004,0.004,0.1499,0.1964,0.3363,0.1836,0.11,0.004,36,"male",1,154.52,22122,1
"31","101","five","five",4,1,0.0098,0.0632,0.2191,0.0788,0.2036,0.1033,0.0877,0.0513,0.0387,0.012,0.1323,52,"female",1,56.07,22212,1
"32","107","five","five",4,1,3e-04,3e-04,0.0366,3e-04,3e-04,3e-04,0.2349,3e-04,0.5944,0.1318,3e-04,32,"male",1,121.92,21222,1
"33","114","five","five",4,1,0.0267,0.0267,0.0267,0.0287,0.0267,0.0267,0.0267,0.0267,0.0267,0.7313,0.0267,30,"male",1,178.77,12222,1
"34","119","five","five",4,1,0.0073,0,8e-04,0.0019,0.1436,0.2033,0.2654,0.1946,0.119,0.0607,0.0033,26,"female",1,70.2,21222,1
"35","123","five","five",4,1,0.0143,0.0343,0.1991,0.0025,0.0722,0.0722,0.0025,0.5955,0.0025,0.0025,0.0025,34,"male",1,155.86,12222,1
"36","129","five","five",4,1,0,0,0.49,0.15,0,0,0.36,0,0,0,0,25,"male",1,131.76,22221,1
"37","130","five","five",4,1,0.0017,0.0379,0.0379,0.0379,0.0379,0.0379,0.0379,0.0467,0.3269,0.3953,0.0022,17,"female",1,185.23,21222,1
"38","131","five","five",4,1,0.0036,0.0049,0.0012,0.0034,0.0355,0.0355,0.0722,0.5902,0.243,0.0022,0.0082,26,"female",1,207.49,22221,1
"39","134","five","five",4,1,0,0,0.0031,0,0,0,0,0,0.9969,0,0,28,"male",1,152.02,22221,1
"40","137","five","five",4,1,0.0047,0.0047,0.0047,0.0047,0.0047,0.0033,0.0901,0.0896,0.7842,0.0047,0.0047,54,"male",1,137.5,22221,1
"41","138","five","five",4,1,8e-04,0,0.5984,0.0162,0.2898,0.0933,0,0,0,0,0.0015,57,"male",1,152.45,22221,1
"42","139","five","five",4,1,0.01,0.0481,0.0276,0.0208,0.01,0.0167,0.0454,0.0626,0.7389,0.01,0.01,56,"female",1,298.8,22122,1
"43","146","five","five",4,1,0,0,0,0,0,0.0367,0.1267,0.2481,0.3462,0.2424,0,18,"male",1,70.43,22122,1
"44","149","five","five",4,1,0.0774,0.0574,0.0534,0.1813,0.1194,0.0954,0.1314,0.1034,0,0.0034,0.1774,22,"male",1,73.01,12222,1
"45","153","five","five",4,1,0.0048,0.014,0.0379,0.0659,0.1103,0.1844,0.2164,0.2457,0.08,0.0384,0.0022,20,"male",1,197.1,22122,1
"46","154","five","five",4,1,0.0037,0.0037,0.2378,0.0037,0.0037,0.1957,0.0037,0.2975,0.0037,0.2433,0.0037,21,"female",1,193.1,21222,1
"47","158","five","five",4,1,0.0462,0.0288,0.0288,0.0288,0.0288,0.0288,0.0288,0.6948,0.0288,0.0288,0.0288,26,"female",1,111.31,22212,1
"48","159","five","five",4,1,0,1e-04,0,0.0676,0.1494,0.2918,0.491,0,0,0,0,32,"female",1,160.93,12222,1
"49","163","five","five",4,1,0.0127,0.0127,0.0127,0.0127,0.0127,0.1865,0.6995,0.0127,0.0127,0.0127,0.0127,32,"female",1,89.24,22221,1
"50","178","five","five",4,1,7e-04,7e-04,7e-04,7e-04,0.2975,0.0687,0.4601,0.169,7e-04,7e-04,7e-04,22,"female",1,232.51,22122,1
"51","184","five","five",4,1,0,0,0,0,0,0.0487,0.2167,0.3603,0.3403,0.0341,0,35,"male",1,118.91,22122,1
"52","185","five","five",4,1,0.0077,0.0077,0.0275,0.0235,0.0402,0.0402,0.0335,0.1615,0.2572,0.3935,0.0077,29,"female",1,158.36,12222,1
"53","187","five","five",4,1,0,0.112,0,0.0395,0,0,0,0,0.6989,0.0828,0.0668,22,"female",1,110.68,22212,1
"54","193","five","five",4,1,0.0024,0.026,0.0442,0.056,0.0655,0.0841,0.0929,0.1161,0.3955,0.1161,0.0011,28,"female",1,231.99,12222,1
"55","196","five","five",4,1,0.0111,0.0111,0.0111,0.0111,0.0111,0.1127,0.1127,0.116,0.4937,0.0983,0.0111,48,"female",1,255.27,22221,1
"56","197","five","five",4,1,0.02,0.02,0.02,0.02,0.02,0.0234,0.02,0.02,0.02,0.7966,0.02,24,"female",1,115.53,22212,1
"57","198","five","five",4,1,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.1135,0.1906,0.4479,0.1739,0.0581,35,"female",1,56.23,22122,1
"58","200","five","five",4,1,0.0025,0.0499,0.0633,0.0866,0.1941,0.2321,0.1723,0.1211,0.0737,0.0014,0.0031,20,"male",1,377.89,22221,1
"59","206","five","five",4,1,0.0313,0.0313,0.0313,0.0313,0.0313,0.0313,0.0313,0.296,0.422,0.0313,0.0313,26,"female",1,230.89,12222,1
"60","207","five","five",4,1,0.0022,0.004,7e-04,0.0027,0.0033,0.0025,0.2183,0.4939,0.1969,0.0741,0.0012,31,"female",1,129.61,22212,1
"61","211","five","five",4,1,5e-04,3e-04,0.0023,1e-04,0.0028,3e-04,3e-04,0,0.0952,0.897,0.0013,21,"male",1,162.29,22212,1
"62","213","five","five",4,1,0,0,0,0,0.0022,0.9978,0,0,0,0,0,26,"male",1,99.99,22212,1
"63","217","five","five",4,1,7e-04,7e-04,7e-04,7e-04,7e-04,7e-04,7e-04,0.2002,0.7938,7e-04,7e-04,36,"female",1,253.2,22221,1
"64","219","five","five",4,1,0,0,0,0.0133,0.0233,0.0418,0.2555,0.337,0.2067,0.1224,0,23,"male",1,127.7,22122,1
"65","220","five","five",4,1,3e-04,0.003,1e-04,0.001,0.0032,0.0092,0.0978,0.1962,0.4196,0.1962,0.0734,23,"male",1,167.84,22122,1
"66","221","five","five",4,1,1e-04,0.0176,0.0167,0.0264,0.025,0.0679,0.0845,0.1702,0.4149,0.1718,0.0049,20,"female",1,142.12,22212,1
"67","225","five","five",4,1,0,0,0,0,0,0,0,0.0547,0.503,0.4423,0,21,"female",1,182.83,21222,1
"68","229","five","five",4,1,0.0023,0.048,0.0288,0.0577,0.0971,0.1156,0.1124,0.1013,0.1819,0.1701,0.085,29,"male",1,120.2,22221,1
"69","231","five","five",4,1,0,0,0,0.0238,0.0502,0.0018,0.015,0,0.8898,0.0194,0,18,"male",1,92.86,22221,1
"70","233","five","five",4,1,0,0,0.0543,0,0,0.3938,0.494,0,0.0318,0.0261,0,23,"male",1,119.15,22212,1
"71","239","five","five",4,1,0,0.0044,0.0072,0.0168,0.0283,0.0339,0.0705,0.4222,0.3487,0.0679,0,24,"female",1,259.05,22212,1
"72","242","five","five",4,1,5e-04,0.0026,0.232,0.1137,0.1148,0.2496,0.1781,0.0826,0.021,0.0023,0.0029,23,"female",1,247.32,22221,1
"73","244","five","five",4,1,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.3894,0.5956,0.0017,0.0017,29,"male",1,142.13,21222,1
"74","249","five","five",4,1,0.0182,0.0182,0.0182,0.0182,0.0182,0.1034,0.2375,0.3543,0.1774,0.0182,0.0182,33,"female",1,199.09,22212,1
"75","250","five","five",4,1,0,0,0,0,0,0.1822,0.2431,0.4447,0.13,0,0,19,"male",1,155.15,12222,1
"76","267","five","five",4,1,0.0102,0.0102,0.0102,0.0102,0.0102,0.0102,0.0102,0.0723,0.719,0.1345,0.0027,21,"male",1,170.51,22122,1
"77","268","five","five",4,1,0.0027,0.0027,2e-04,0.0022,0.0017,0.0836,0.2963,0.3943,0.1615,0.0543,3e-04,24,"female",1,125.16,22221,1
"78","270","five","five",4,1,0.0037,0.0037,0.0037,0.0037,0.0599,0.0037,0.065,0.0037,0.7913,0.0037,0.0582,66,"male",1,86.54,22221,1
"79","272","five","five",4,1,2e-04,0.003,0.0206,0.033,0.046,0.0577,0.1094,0.2074,0.3482,0.1736,8e-04,54,"male",1,174.77,22212,1
"80","281","five","five",4,1,0.005,0.005,0.005,0.005,0.005,0.1064,0.1638,0.242,0.2633,0.1944,0.005,23,"female",1,124.33,22221,1
"81","284","five","five",4,1,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.2146,0.5641,0.2035,0.0022,19,"male",1,92.11,22221,1
"82","291","five","five",4,1,0,0,0,0,0,0.2983,0.1496,0.5348,0.0173,0,0,32,"female",1,162.14,22212,1
"83","296","five","five",4,1,0,0,0,0,2e-04,0,0,0,0.9998,0,0,35,"male",1,285.31,12222,1
"84","301","five","five",4,1,0,0,0.1982,0,0,0,0,0.8018,0,0,0,60,"female",1,196.77,21222,1
"85","304","five","five",4,1,9e-04,9e-04,9e-04,9e-04,1e-04,0.0967,0.8958,9e-04,9e-04,9e-04,9e-04,26,"female",1,287.09,21222,1
"86","305","five","five",4,1,0,0,0.013,0.023,0.062,0.1127,0.1797,0.2255,0.2502,0.1339,0,21,"male",1,123.31,22221,1
"87","306","five","five",4,1,0,0,0,0.0808,0.1731,0.5028,0.1795,0.0637,0,0,0,26,"female",1,205.39,12222,1
"88","316","five","five",4,1,0.077,0.0827,0,0.0241,0.0203,0,0,0,0.7958,0,0,31,"male",1,152.07,22212,1
"89","323","five","five",4,1,0.0013,0.0013,0.0013,0.0215,0.0504,0.1379,0.2776,0.3742,0.1323,0.0013,0.0013,24,"nonbinary",1,163.69,22122,1
"90","324","five","five",4,1,0.1896,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.7954,47,"female",1,295.49,22122,1
"91","326","five","five",4,1,0.0025,0.0067,0.0167,0.0322,0.0333,0.0333,0.4963,0.2933,0.0283,0.031,0.0264,42,"male",1,212.34,21222,1
"92","328","five","five",4,1,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.0013,0.3473,0.4757,0.1667,0.0013,24,"male",1,207.26,22122,1
"93","331","five","five",4,1,0,0.2107,0.1919,0.182,0.1335,0.1,0.067,0.047,0.0337,0.0237,0.0104,21,"male",1,199.1,21222,1
"94","332","five","five",4,1,0.0191,0.0261,0.0336,0.0502,0.0984,0.1358,0.1763,0.2065,0.1608,0.0755,0.0176,45,"female",1,128.93,21222,1
"95","334","five","five",4,1,0,0,0,0,0,0,0,0.1525,0.8475,0,0,25,"male",1,125.24,12222,1
"96","344","five","five",4,1,0.0022,0.0011,0.0075,0.0092,0.0169,0.0511,0.1637,0.2628,0.322,0.1632,3e-04,23,"male",1,130.1,22122,1
"97","345","five","five",4,1,0.0347,0.0353,0.5954,0.034,0.0346,0.0342,0.0334,0.0333,0.036,0.0362,0.0929,20,"male",1,222.04,22221,1
"98","351","five","five",4,1,7e-04,7e-04,7e-04,7e-04,7e-04,7e-04,7e-04,0.3302,0.6638,7e-04,7e-04,24,"female",1,97.56,22122,1
"99","356","five","five",4,1,7e-04,0.0206,0.0278,0.0315,0.032,0.0458,0.1085,0.157,0.2434,0.3294,0.0032,24,"male",1,305.19,12222,1
