"","pID","condition","section","seenRed","seenBlue","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","time","chipsOrder","actuallyEstimated","selected"
"1","2","unlimited","unlimited",24,6,0,0,0,0,0,0,0.0972,0.1888,0.3581,0.3559,0,27,"male",1,195.05,2.21221222222212e+29,1,30
"2","5","unlimited","unlimited",16,4,0,0,0.0089,0,0,0,0,0,0.9911,0,0,26,"female",1,217.16,22212221222221201408,1,20
"3","12","unlimited","unlimited",8,2,0.0506,0.001,0.1457,0.001,0.001,0.001,0.001,0.001,0.7958,0.001,0.001,36,"female",1,780,2221222221,1,10
"4","14","unlimited","unlimited",36,9,7e-04,7e-04,7e-04,0.0032,7e-04,7e-04,7e-04,7e-04,0.988,7e-04,0.0028,29,"male",1,419.78,2.12222122221222e+44,1,45
"5","15","unlimited","unlimited",7,2,0,0,0.0229,0.0355,0.0427,0.0805,0.6901,0,0.0553,0.0212,0.0517,20,"male",1,144.25,122221222,1,9
"6","16","unlimited","unlimited",17,4,0.0025,0.0019,0.0019,0.0019,0.0025,0.0027,0.0019,0.1272,0.4565,0.3993,0.0019,32,"female",1,620.71,2.21222212212222e+20,1,21
"7","20","unlimited","unlimited",16,4,0.0011,0.0011,0.0152,0.0362,0.0641,0.0883,0.1312,0.1961,0.269,0.1965,0.0011,30,"female",1,562,12222221222122199040,1,20
"8","30","unlimited","unlimited",15,4,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,0.1383,0.3767,0.3872,0.0122,0.0122,37,"female",1,262.65,2212222221221220096,1,19
"9","32","unlimited","unlimited",4,1,0.085,0.1222,0,0,0,0,0.0114,0.7265,0.0379,0.0011,0.0158,44,"female",1,188.16,21222,1,5
"10","34","unlimited","unlimited",8,2,6e-04,0.0087,0.0147,0.0179,0.0215,0.0189,0.0616,0.0744,0.6974,0.081,0.0033,45,"female",1,253.19,2122212222,1,10
"11","37","unlimited","unlimited",8,2,0,0,0,0,0,0.09,0.0953,0.1609,0.5965,0.0573,0,18,"male",1,233.96,1222222122,1,10
"12","39","unlimited","unlimited",8,2,0.0627,0.0043,0.021,0.0043,0.0043,0.0043,0.0043,0.021,0.7974,0.0741,0.0026,19,"male",1,119.28,2222122221,1,10
"13","42","unlimited","unlimited",20,5,7e-04,7e-04,7e-04,7e-04,7e-04,7e-04,7e-04,0.2983,0.3969,0.2995,7e-04,42,"male",1,310.53,2.22122222122221e+24,1,25
"14","43","unlimited","unlimited",5,2,0.0233,0.0233,0.0233,0.0233,0.0233,0.0233,0.1917,0.2978,0.2814,0.0657,0.0233,21,"male",1,142.21,1222212,1,7
"15","46","unlimited","unlimited",17,5,0.0167,0.0233,0.01,0.0233,0.0133,0.0233,0.1667,0.1999,0.2534,0.27,0,40,"male",1,142.43,2.12222221221222e+21,1,22
"16","50","unlimited","unlimited",31,7,0.017,0.017,0.017,0.017,0.017,0.017,0.13,0.2517,0.4824,0.017,0.017,26,"female",1,153.22,2.22211222222122e+37,1,38
"17","53","unlimited","unlimited",4,1,0.023,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.797,0.02,0.02,42,"female",1,100.01,12222,1,5
"18","54","unlimited","unlimited",52,13,0.002,0.0225,0.0209,0.0212,0.022,0.0228,0.0224,0.0221,0.7987,0.0224,0.0229,28,"female",1,605.78,2.22212122222122e+64,1,65
"19","55","unlimited","unlimited",12,4,0.0044,0.0044,0.0044,0.0038,0.023,0.0623,0.1677,0.3516,0.2441,0.1341,0,28,"male",1,158.32,2212212222212220,1,16
"20","57","unlimited","unlimited",15,3,0.059,0.0551,0,0,0.0057,0,0.0628,0,0.7946,0,0.0228,47,"male",1,320.22,222212212222121984,1,18
"21","61","unlimited","unlimited",21,5,0,0.0082,0.0016,0,0.041,0.0541,0.059,0.0377,0.795,0.0033,0,42,"male",1,311.54,2.22122122222122e+25,1,26
"22","64","unlimited","unlimited",16,4,0.003,0.0015,2e-04,0.0024,0.003,5e-04,0.0194,0.0844,0.8005,0.0844,7e-04,36,"female",1,272.32,22212222212122198016,1,20
"23","73","unlimited","unlimited",12,3,3e-04,0.0018,0.0025,0.002,0.0026,0.0118,0.0118,0.3558,0.5993,0.0118,1e-04,32,"female",1,184.81,122222222121222,1,15
"24","75","unlimited","unlimited",19,5,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.0023,0.2188,0.5545,0.208,0.0023,20,"male",1,213.75,2.22212122221222e+23,1,24
"25","78","unlimited","unlimited",8,2,0,0,0.029,0.0583,0.1196,0.1702,0.2277,0.3953,0,0,0,41,"female",1,626.88,2122222122,1,10
"26","88","unlimited","unlimited",5,1,0.0115,0.0672,0,0.0368,0.0452,0.0148,0.5857,0.0655,0.0672,0.1061,0,27,"female",1,56.07,221222,1,6
"27","90","unlimited","unlimited",6,1,0.0257,0.0112,0,0.0581,0.0112,0,0.7907,0.0435,0,0,0.0597,53,"female",1,338.72,2221222,1,7
"28","92","unlimited","unlimited",8,2,0.0278,0.0386,0.0033,0.0116,0.0044,0.0206,0.191,0.1866,0.4929,0.0062,0.017,26,"male",1,235.2,2222122221,1,10
"29","93","unlimited","unlimited",80,20,0.005,0.005,0.005,0.1232,0.0549,0.0795,0.0514,0.0252,0.5146,0.1162,0.0199,29,"female",1,1073.98,2.22212122222122e+99,1,100
"30","97","unlimited","unlimited",8,2,0.0042,0.0042,0.0042,0.0042,0.0042,0.0308,0.1963,0.3446,0.3987,0.0042,0.0042,24,"male",1,179.38,1222221222,1,10
"31","98","unlimited","unlimited",7,2,0,0,0,0,0,0,0,0.2714,0.7286,0,0,25,"female",1,139.72,122222122,1,9
"32","103","unlimited","unlimited",16,4,0.0018,0.001,0.0011,6e-04,0.0389,0.0694,0.1577,0.289,0.2953,0.0927,0.0525,26,"male",1,139.45,21222212222221201408,1,20
"33","104","unlimited","unlimited",8,2,0.0243,0.0243,0.0243,0.0243,0.0243,0.0257,0.0243,0.0243,0.7559,0.0243,0.0243,28,"female",1,226.74,1222222122,1,10
"34","105","unlimited","unlimited",19,5,0.0011,0.0954,0.0977,0.0993,0.1803,0.1836,0.1434,0.1397,0.0199,0.0199,0.0199,20,"male",1,198.19,2.22122221222122e+23,1,24
"35","110","unlimited","unlimited",17,4,0.001,0.001,0.0032,0.0023,0.0794,0.1174,0.1254,0.1552,0.4987,0.0149,0.0015,23,"male",1,232.35,2.22122212222122e+20,1,21
"36","125","unlimited","unlimited",10,2,0.0018,0.0016,2e-04,0.0025,0.0014,0.0012,0.0011,0.5977,0.3898,0.0018,9e-04,30,"male",1,214.17,222212122222,1,12
"37","126","unlimited","unlimited",12,3,0,0,0,0,0.0033,0.0105,0.0267,0.0261,0.8911,0.0423,0,36,"female",1,157.78,222121222222212,1,15
"38","132","unlimited","unlimited",11,3,9e-04,3e-04,0.0019,0.0015,0.0019,0.003,3e-04,0.0018,0.9842,0.0029,0.0012,36,"male",1,351.69,21222122222221,1,14
"39","133","unlimited","unlimited",62,16,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.1122,0.7575,0.0857,0.0023,26,"male",1,439.74,2.22212212222122e+77,1,78
"40","135","unlimited","unlimited",45,11,0.0011,0.0024,0.0021,0.0022,0.0016,8e-04,0.0024,0.0033,0.3589,0.6248,4e-04,27,"female",1,204.79,2.22122222122122e+55,1,56
"41","140","unlimited","unlimited",10,2,0.0022,9e-04,5e-04,0.0043,0.0023,0.0032,0.0021,0.0371,0.7968,0.1503,3e-04,26,"male",1,155.68,212221222222,1,12
"42","142","unlimited","unlimited",12,3,0.003,0.231,0.4866,0.2587,0.003,0.003,0.003,0.003,0.003,0.003,0.003,26,"male",1,90.05,122222221212222,1,15
"43","143","unlimited","unlimited",5,1,0,0,0,0,0,0,0,0,0.891,0.109,0,52,"male",1,158.74,221222,1,6
"44","148","unlimited","unlimited",14,3,7e-04,0.0801,0.0505,7e-04,0.0742,0.0845,7e-04,0.4936,0.0401,0.089,0.086,37,"female",1,105.18,22212222212122200,1,17
"45","151","unlimited","unlimited",44,11,0.0033,0.0149,0.0232,0.04,0.0517,0.0958,0.1278,0.201,0.2387,0.2036,0,21,"female",1,391.86,2.21222221212222e+54,1,55
"46","152","unlimited","unlimited",10,2,0.0139,0.0093,0.0093,0.0093,0.0093,0.0093,0.0093,0.0093,0.0093,0.9021,0.0093,20,"male",1,69.45,222122222122,1,12
"47","156","unlimited","unlimited",16,5,0.0077,0.0096,0.0146,0.0379,0.0596,0.1101,0.3065,0.3101,0.1279,0.0083,0.0077,43,"male",1,273.85,2.22212212222212e+20,1,21
"48","157","unlimited","unlimited",9,3,0.0317,0,0.1375,0.0018,0.0217,0,0.5945,0,0.0616,0.1175,0.0337,61,"male",1,467.5,222211222221,1,12
"49","160","unlimited","unlimited",12,3,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.021,0.7948,0.0162,0.021,49,"male",1,223.43,222212212222221,1,15
"50","169","unlimited","unlimited",26,6,0.0013,0.0063,0.0066,0.0055,0.0045,0.0037,0.0703,0.0848,0.3632,0.452,0.0018,26,"male",1,373.22,1.22222221222212e+31,1,32
