"","pID","condition","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","actuallyEstimated"
"1",3,"peaked",0.0295,0.0608,0.1597,0.1354,0.0069,0.1563,0.1649,0.026,0.1181,0.0903,0.0521,21,"both",1,0
"2",16,"uniform",0.0017,0.0017,0.019,0.0318,0.08,0.089,0.3982,0.2674,0.108,0.0017,0.0017,23,"female",0,1
"3",18,"uniform",0.1587,0.0025,0.1662,0.1008,0.0781,0.1436,0.1159,0.0252,0.1008,0.1083,0,18,"female",1,0
"4",19,"uniform",0.0035,0.1746,0.1041,0.0176,0.1217,0.1182,0.1235,0.0829,0.1235,0.0423,0.0882,23,"female",0,0
"5",21,"uniform",0.0843,0.0412,0.1294,0.149,0.1608,0.1137,0.0804,0.0235,0.1216,0.0431,0.0529,28,"female",1,0
"6",22,"uniform",0.0352,0.1484,0.0332,0.0625,0.0723,0.1016,0.0059,0.1914,0.1211,0.1602,0.0684,18,"female",1,0
"7",30,"uniform",0.0756,0.0216,0.0389,0.0972,0.1663,0.1145,0.1123,0.0734,0.0086,0.1728,0.1188,27,"female",1,0
"8",31,"uniform",0.0483,0.091,0,0.1101,0,0.0807,0.4298,0.0147,0.1171,0.0468,0.0616,29,"female",0,1
"9",34,"uniform",0.0369,0.0931,0.0658,0.0963,0.1236,0.1429,0.1316,0.1268,0.0128,0.1236,0.0465,41,"female",0,0
"10",37,"uniform",0.1327,0.0741,0.1435,0.0494,0.0571,0.0694,0.0849,0.1142,0.0802,0.0725,0.1219,42,"female",1,0
"11",39,"uniform",0.0241,0.0244,0.0224,0.0167,0.024,0.0763,0.0996,0.166,0.298,0.1113,0.1372,32,"female",0,1
"12",54,"uniform",0.0907,0.1013,0.0654,0.2004,0.1624,0.1118,0.0084,0.0127,0.0464,0.1181,0.0823,32,"female",1,0
"13",61,"uniform",0.1023,0.0111,0.148,0.0034,0.1213,0.1236,0.0947,0.116,0.1023,0.151,0.0262,24,"female",0,1
"14",65,"peaked",0,0,0,0,0,0,0.0105,0.3919,0.2143,0.1633,0.22,19,"female",0,1
"15",67,"peaked",0.035,0.0403,0.0156,0.0156,0.0156,0.1787,0.0156,0.0156,0.6371,0.0156,0.0156,33,"female",0,1
"16",78,"peaked",0.1277,0.1083,0.1509,0.0793,0.1161,0.0561,0.0039,0.1335,0.0658,0.1451,0.0135,30,"female",1,0
"17",80,"peaked",0.0635,0.0357,0.1865,0.0417,0.1329,0.121,0.1905,0.0417,0.0933,0.0218,0.0714,20,"female",1,0
"18",86,"peaked",0.0648,0.0722,0.1426,0.0167,0.1185,0.1759,0.0185,0.0944,0.1111,0.1074,0.0778,41,"female",1,0
"19",89,"peaked",0.1195,0.0836,0.058,0.0392,0.0836,0.0785,0.1382,0.1365,0.0358,0.0734,0.1536,25,"female",1,0
"20",90,"peaked",0.0166,0.0574,0.0296,0.0998,0.0149,0,0,0.0655,0.5999,0.0476,0.0688,30,"female",0,1
"21",95,"peaked",0.1514,0.1693,0.1375,0.0438,0.0398,0.0319,0.0518,0.0717,0.1116,0.1255,0.0657,43,"female",1,0
"22",100,"peaked",0.1418,0.0909,0.1418,0.0091,0.0655,0.1673,0.0709,0.1745,0.0309,0.0418,0.0655,23,"female",1,0
"23",109,"peaked",0.0891,0.0992,0.0353,0.0588,0.1445,0.1429,0.0101,0.084,0.1412,0.0571,0.1378,18,"female",1,0
"24",111,"peaked",0.1145,0.1368,0.0564,0.0291,0.0051,0.1709,0.1538,0.1162,0.0444,0.1692,0.0034,21,"female",1,0
"25",122,"uniform",0.0912,0.0912,0.0246,0.1456,0.1667,0.0351,0.1404,0.0368,0.1193,0.1123,0.0368,20,"male",1,0
"26",126,"uniform",0.1431,0.1534,0.0793,0.0431,0.0845,0.0345,0.0966,0.1121,0.0931,0.0517,0.1086,26,"male",0,0
"27",128,"uniform",0.0945,0.0558,0.0317,0.0373,0.0614,0.1269,0.132,0.1495,0.1548,0.1538,0.0023,19,"male",0,1
"28",129,"uniform",0.1703,0.1577,0.043,0.1685,0.0591,0.0699,0.0502,0.0054,0.0484,0.1595,0.0681,36,"male",0,0
"29",132,"uniform",0.0803,0.0803,0.0803,0.0803,0.0803,0.1941,0.0829,0.0803,0.0803,0.0803,0.0803,22,"male",0,1
"30",138,"uniform",0.0921,0.0925,0.0912,0.092,0.0917,0.0908,0.0917,0.0892,0.0892,0.0893,0.0904,29,"male",0,1
"31",147,"uniform",0.1718,0.0841,0.106,0.1481,0.0183,0.0713,0.0951,0.0366,0.0768,0.1261,0.0658,21,"male",1,0
"32",160,"uniform",0.0688,0.0671,0.1239,0.0861,0.0448,0.1515,0.0465,0.1429,0.1704,0.0465,0.0516,20,"male",1,0
"33",167,"uniform",0.1617,0.1195,0.1353,0.1687,0.0018,0.0914,0.0422,0.1353,0.0949,0.0369,0.0123,20,"male",1,0
"34",169,"uniform",0.0179,0.1012,0.1116,0.0595,0.0848,0.0967,0.0789,0.0952,0.1071,0.1116,0.1354,22,"male",1,0
"35",170,"uniform",0.007,0.1383,0.0712,0.1397,0.1369,0.0154,0.067,0.1145,0.1355,0.081,0.0936,22,"male",1,0
"36",172,"uniform",0.152,0.152,0.012,0.08,0.02,0.034,0.184,0.028,0.078,0.088,0.172,19,"male",1,0
"37",176,"uniform",0.002,0.0314,0.1765,0.0412,0.0588,0.1314,0.1647,0.0529,0.1961,0.0176,0.1275,42,"male",1,0
"38",182,"uniform",0.1105,0.047,0.134,0.0442,0.1243,0.1008,0.1285,0.0414,0.0041,0.1271,0.1381,25,"male",1,0
"39",186,"uniform",0.1811,0.0617,0.177,0.0329,0.1008,0.0247,0.1564,0.1029,0.0247,0.0864,0.0514,20,"male",1,0
"40",187,"uniform",0.1212,0.0019,0.0587,0.125,0.0152,0.1269,0.0265,0.1496,0.1477,0.0909,0.1364,35,"male",0,0
