"","pID","condition","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","actuallyEstimated"
"1","2","peaked",0.0133,0.0724,0.0133,0.0133,0.0316,0.0663,0.0858,0.0133,0.5051,0.0668,0.1187,21,"secret",1,1
"2","64","peaked",0.116,0.0117,0.0117,0.0311,0.0117,0.0117,0.0117,0.0117,0.6968,0.0529,0.0333,31,"female",1,1
"3","66","peaked",0.0191,0.0191,0.0191,0.0191,0.0191,0.0191,0.0621,0.2171,0.419,0.145,0.0421,27,"female",1,1
"4","68","peaked",0.0104,0.0128,0.0156,0.0178,0.0144,0.0104,0.0104,0.0104,0.7952,0.0923,0.0104,18,"female",1,1
"5","69","peaked",0.0035,0.0259,0.0392,0.0484,0.0579,0.0614,0.0677,0.2151,0.3613,0.1145,0.0051,21,"female",1,1
"6","70","peaked",0.0035,0.0054,8e-04,8e-04,8e-04,8e-04,0.0279,0.1683,0.7902,8e-04,8e-04,27,"female",1,1
"7","71","peaked",0.001,0.001,0.001,0.001,0.1254,0.0019,0.001,0.001,0.7684,0.0974,0.001,26,"female",1,1
"8","72","peaked",0.029,0.0732,0,0.0675,0.0832,0.1088,0.4155,0.019,0.0147,0.1031,0.086,24,"female",1,1
"9","73","peaked",3e-04,3e-04,3e-04,3e-04,3e-04,3e-04,3e-04,0.302,0.695,3e-04,3e-04,21,"female",1,1
"10","74","peaked",0,0,0,0,0,0.2941,0,0.7059,0,0,0,36,"female",1,1
"11","75","peaked",8e-04,0.0339,0.0954,8e-04,0.0563,0.0087,0.0087,8e-04,0.7928,8e-04,8e-04,23,"female",1,1
"12","76","peaked",0.0028,0.0021,0.0019,6e-04,0.0014,0.0317,0.079,0.14,0.6686,0.0717,2e-04,20,"female",1,1
"13","77","peaked",0.0029,0.0199,0.0249,0.0327,0.0435,0.0642,0.0947,0.1853,0.2554,0.1718,0.1047,24,"female",1,1
"14","79","peaked",0,0,0,0,0,0,0.0698,0.2979,0.2796,0.282,0.0707,21,"female",1,1
"15","81","peaked",0,0,0,0,0.1372,0.1705,0.1996,0.2467,0.2461,0,0,48,"female",1,1
"16","82","peaked",0,0,0,0,0,0.2089,0.2686,0.3018,0.2207,0,0,23,"female",1,1
"17","83","peaked",0.0172,0.0172,0.0172,0.0172,0.0172,0.0172,0.295,0.5443,0.0172,0.0229,0.0172,26,"female",1,1
"18","84","peaked",0.0902,0.0122,0.3397,0.1912,0.12,0.11,0.0633,0.03,0.01,0.0167,0.0167,29,"female",1,1
"19","85","peaked",0,0.0322,0.0256,0.0487,0.0273,0.08,0.0964,0.0623,0.5467,0.0635,0.0174,24,"female",1,1
"20","87","peaked",0.0097,0.0077,0.0032,0.0041,0.0025,0.0442,0.0898,0.2816,0.4245,0.1285,0.004,37,"female",1,1
"21","88","peaked",0.067,0.0307,0,0,0.009,0,0.0344,0,0.8463,0,0.0126,31,"female",1,1
"22","91","peaked",0.0053,0.0068,0.0053,0.0053,0.0053,0.0269,0.0202,0.0068,0.8003,0.0789,0.0387,30,"female",1,1
"23","92","peaked",0.0419,0.009,0.0222,0.009,0.0597,0.009,0.009,0.0258,0.7964,0.009,0.009,32,"female",1,1
"24","93","peaked",0,0,0,0,0,0,0,0.0041,0.4204,0.5755,0,23,"female",1,1
"25","94","peaked",0.006,0.0567,0.006,0.006,0.006,0.0405,0.0308,0.006,0.7907,0.0454,0.006,59,"female",1,1
"26","96","peaked",0.0037,0.0037,0.0037,0.0037,0.0037,0.0037,0.0553,0.4354,0.4797,0.0037,0.0037,20,"female",1,1
"27","97","peaked",0,0,0,0,0,0,0,0.2497,0.7503,0,0,30,"female",1,1
"28","98","peaked",0.0139,0.0089,0.0054,0.0067,0.0229,0.0474,0.1034,0.19,0.3585,0.1495,0.0935,40,"female",1,1
"29","99","peaked",9e-04,9e-04,9e-04,9e-04,9e-04,9e-04,9e-04,0.1945,0.7978,9e-04,9e-04,18,"female",1,1
"30","101","peaked",0.0343,0.0093,0.0093,0.0213,0.0093,0.0635,0.0093,0.7397,0.0505,0.0093,0.044,62,"female",1,1
"31","102","peaked",7e-04,7e-04,7e-04,7e-04,7e-04,7e-04,7e-04,0.1018,0.8922,7e-04,7e-04,18,"female",1,1
"32","103","peaked",0,0.0197,0,0.0165,0.0392,0,0.0084,0,0,0.8623,0.0538,35,"female",1,1
"33","104","peaked",0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.297,0.688,0.0017,0.0017,24,"female",1,1
"34","105","peaked",0.0041,0.0041,0.0237,0.0451,0.0451,0.0041,0.0921,0.6998,0.0738,0.0041,0.0041,22,"female",1,1
"35","106","peaked",0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.5017,0.2763,0.0247,21,"female",1,1
"36","107","peaked",0.0117,0.0117,0.0117,0.0117,0.0117,0.0117,0.0117,0.6967,0.1983,0.0117,0.0117,20,"female",1,1
"37","108","peaked",0.015,0.006,0.006,0.006,0.006,0.006,0.0322,0.1088,0.8022,0.006,0.006,22,"female",1,1
"38","110","peaked",0.023,0.023,0.023,0.023,0.023,0.297,0.023,0.023,0.496,0.023,0.023,49,"female",1,1
"39","112","peaked",0.0101,0.0518,0.0235,7e-04,7e-04,7e-04,0.0545,0.7941,7e-04,0.0384,0.0249,19,"female",1,1
"40","113","peaked",0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0445,0.297,0.643,0.0036,0.002,22,"female",1,1
"41","114","peaked",0.0029,6e-04,0.0033,0.0023,0.0011,0.0027,0.0706,0.1217,0.6898,0.1044,6e-04,34,"female",1,1
"42","115","peaked",3e-04,0.0128,0.643,0.0437,0.0643,0.142,0.0128,0.053,0.0128,0.0128,0.0026,51,"female",1,1
"43","116","peaked",0,0,0,0,0,0,0.0561,0.1733,0.2841,0.4865,0,19,"female",1,1
"44","208","peaked",0.0127,0.0147,0.0127,0.0127,0.0127,0.0127,0.0127,0.0275,0.7809,0.0882,0.0127,60,"male",1,1
"45","209","peaked",0.0031,0.0074,0.0184,0.0239,0.0246,0.0494,0.0852,0.1755,0.544,0.0656,0.003,23,"male",1,1
"46","210","peaked",7e-04,7e-04,7e-04,7e-04,7e-04,7e-04,7e-04,7e-04,0.7979,0.1961,7e-04,18,"male",1,1
"47","211","peaked",0.01,0.01,0.01,0.01,0.0124,0.01,0.0109,0.01,0.8967,0.01,0.01,28,"male",1,1
"48","212","peaked",0,0,0,0,0,0,0.3832,0.4935,0.1233,0,0,18,"male",1,1
"49","213","peaked",0.0074,0.0074,0.0074,0.0074,0.0074,0.0658,0.137,0.1939,0.465,0.0977,0.0033,28,"male",1,1
"50","214","peaked",0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.0019,0.7984,0.1849,0.0019,19,"male",1,1
"51","215","peaked",0.003,0.0021,0.0032,0.0036,0.0014,0.0369,0.294,0.3943,0.1933,0.0669,0.0014,22,"male",1,1
"52","216","peaked",0.0144,0.0144,0.0144,0.0144,0.0032,0.028,0.3507,0.3323,0.1992,0.0144,0.0144,23,"male",1,1
"53","217","peaked",4e-04,0.0025,0.0025,0.0033,0.014,0.0436,0.0905,0.1453,0.5923,0.105,8e-04,21,"male",1,1
"54","218","peaked",0.0049,0.0044,0.001,0.0019,0.0033,0.0255,0.0555,0.0527,0.7966,0.0536,6e-04,18,"male",1,1
"55","219","peaked",0,0,0,0.1901,0,0,0.4303,0.3687,0.011,0,0,28,"male",1,1
"56","220","peaked",0,0,0,0,0,0,0.1017,0.191,0.6086,0.0987,0,19,"male",1,1
"57","221","peaked",0,0,0,0,0,0.0583,0.0645,0.1885,0.4949,0.1938,0,18,"male",1,1
"58","222","peaked",0.0035,0.0035,0.0035,0.2699,0.0035,0.0035,0.0035,0.6985,0.0035,0.0035,0.0035,18,"male",1,1
"59","223","peaked",0.0014,0.0014,0.0014,0.0014,0.0014,0.0014,0.0521,0.1152,0.7012,0.1233,0,18,"male",1,1
"60","224","peaked",0.003,0.003,0.001,8e-04,5e-04,0.0028,7e-04,0.2014,0.5746,0.205,0.0073,35,"male",1,1
"61","225","peaked",0.001,0.0032,0.0025,0,0.0011,0.0467,0.06,0.0637,0.6971,0.117,0.0078,23,"male",1,1
"62","226","peaked",0,0,0,0,0,0.0864,0.1241,0.1601,0.5727,0.0567,0,29,"male",1,1
"63","227","peaked",0,0,0,0,0,0,0.4035,0.5965,0,0,0,19,"male",1,1
"64","229","peaked",0,0,0,0,0,0,0.0767,0.1275,0.6507,0.1452,0,24,"male",1,1
"65","230","peaked",0,0,0.0413,0.0747,0.0975,0.14,0.3843,0.2623,0,0,0,20,"male",1,1
"66","231","peaked",0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0104,0.0955,0.8035,0.0175,30,"male",1,1
"67","232","peaked",0,0,0,0,0,0,0.0144,0.1352,0.7973,0.0531,0,20,"male",1,1
"68","234","peaked",0.0017,0.0017,0.0017,0.0017,0.0017,0.0017,0.0685,0.1352,0.7103,0.0744,0.0017,20,"male",1,1
"69","236","peaked",0,0,0,0,0.0044,0.012,0.1002,0.2276,0.5179,0.1378,0,22,"male",1,1
"70","237","peaked",0,0,0,0,0,0,0.0674,0.0985,0.7908,0.0433,0,20,"male",1,1
