"","condition","x","y"
"1","peaked",0,0.0190659572407403
"2","peaked",0.1,0.0192656939242666
"3","peaked",0.2,0.0290323894293749
"4","peaked",0.3,0.0273247206226501
"5","peaked",0.4,0.0281138321372754
"6","peaked",0.5,0.0406706744208936
"7","peaked",0.6,0.0776347560384604
"8","peaked",0.7,0.199613118376003
"9","peaked",0.8,0.430827008694048
"10","peaked",0.9,0.100406376436786
"11","peaked",1,0.0280454726795016
"12","uniform",0,0.0339092867265087
"13","uniform",0.1,0.0469396149038669
"14","uniform",0.2,0.0501703404265169
"15","uniform",0.3,0.0530964328320193
"16","uniform",0.4,0.0612650968338501
"17","uniform",0.5,0.0989018913117635
"18","uniform",0.6,0.116046055212737
"19","uniform",0.7,0.170833821006404
"20","uniform",0.8,0.253402599015639
"21","uniform",0.9,0.0761650255660918
"22","uniform",1,0.0392698361646027
