"","condition","x","y"
"1","peaked",0,0.0193861007830124
"2","peaked",0.1,0.0191768219845572
"3","peaked",0.2,0.0257922166726707
"4","peaked",0.3,0.0243551727636382
"5","peaked",0.4,0.0292383504261907
"6","peaked",0.5,0.0412663736726112
"7","peaked",0.6,0.0696613261731766
"8","peaked",0.7,0.141040054949237
"9","peaked",0.8,0.51619386774213
"10","peaked",0.9,0.0903830758100794
"11","peaked",1,0.0235066390226967
"12","uniform",0,0.0288448421907702
"13","uniform",0.1,0.0428685156669567
"14","uniform",0.2,0.0459010297895446
"15","uniform",0.3,0.0518792838038726
"16","uniform",0.4,0.0622500544711776
"17","uniform",0.5,0.0793215106960168
"18","uniform",0.6,0.107076535400319
"19","uniform",0.7,0.158465515088595
"20","uniform",0.8,0.301463402969845
"21","uniform",0.9,0.0903314450434946
"22","uniform",1,0.0315978648794075
