"","pID","condition","section","seenRed","seenBlue","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","time","chipsOrder","actuallyEstimated"
"1","10","estimated","prior",4,1,0.0748581208900099,0.130168453292496,0.0287361498964057,0.117196648950545,0.0299972975407621,0.425096838122692,0.0753085307629943,0.0287361498964057,0.0287361498964057,0.0287361498964057,0.0324295108548779,26,"female",1,351.78,22221,1
"2","105","estimated","prior",4,1,0.0934234234234234,0.0218018018018018,0.138828828828829,0.0934234234234234,0.0854054054054054,0.183963963963964,0.137387387387387,0.0854054054054054,0.0474774774774775,0.0254954954954955,0.0873873873873874,42,"male",1,291.02,12222,1
"3","110","estimated","prior",4,1,0.0105376925155363,0.0695307574529406,0.102404755471494,0.16409979284878,0.239935152661443,0.0629559578492299,0.0105376925155363,0.0426911645501216,0.0105376925155363,0.0105376925155363,0.276231649103846,29,"male",1,145.56,22221,1
"4","112","estimated","prior",4,1,0.0351319700927844,0.0555805783262769,0.0797225475182416,0.104134762633997,0.128006485902171,0.170074768038915,0.140077470498153,0.106026484100531,0.0844968921718764,0.0616160706242681,0.0351319700927844,23,"female",1,249.28,22212,1
"5","118","estimated","prior",4,1,0.0503512880562061,0.0503512880562061,0.0702576112412178,0.149522608539002,0.101963610160331,0.276796973518285,0.0993514682039272,0.0503512880562061,0.0503512880562061,0.0503512880562061,0.0503512880562061,20,"female",1,241.35,22212,1
"6","12","estimated","prior",4,1,0.0645161290322581,0.0169399891872409,0.0169399891872409,0.0169399891872409,0.088934943233015,0.0578482609479185,0.0169399891872409,0.514957650027032,0.126509280951523,0.062533789872049,0.0169399891872409,18,"male",1,260.02,21222,1
"7","121","estimated","prior",4,1,0.132252252252252,0.366036036036036,0.0999099099099099,0.0400900900900901,0.0736936936936937,0.0932432432432432,0.0456756756756757,0.0527027027027027,0.0418918918918919,0.0445045045045045,0.01,25,"male",1,182.34,22221,1
"8","123","estimated","prior",4,1,0.0641383659129808,0.0336906584992343,0.0612557427258806,0.0336906584992343,0.544905864336546,0.080172957391226,0.0336906584992343,0.0336906584992343,0.0714350058553283,0.0336906584992343,0.0096387712818665,22,"female",1,100.99,12222,1
"9","124","estimated","prior",4,1,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.209279279279279,0.207027027027027,0.14036036036036,0.201531531531532,0.187747747747748,0.00900900900900901,0.00900900900900901,0.00900900900900901,21,"male",1,152.38,12222,1
"10","125","estimated","prior",4,1,0.027027027027027,0.0540540540540541,0.027027027027027,0.027027027027027,0.027027027027027,0.0347747747747748,0.027027027027027,0.61027027027027,0.0556756756756757,0.027027027027027,0.083063063063063,23,"female",1,150.06,22122,1
