"","pID","condition","section","seenRed","seenBlue","e0","e10","e20","e30","e40","e50","e60","e70","e80","e90","e100","age","gender","botCheck","time","chipsOrder","actuallyEstimated","beta","gamma","value"
"1","10","estimated","posterior",4,1,0.00963790308052603,0.00963790308052603,0.031345703476851,0.00963790308052603,0.00963790308052603,0.00963790308052603,0.0416141235813367,0.0498108448928121,0.724373986669069,0.00963790308052603,0.0950279228967753,26,"female",1,351.78,22221,1,0.9999999,12.7056810323194,0.02867974707088
"2","105","estimated","posterior",4,1,0.00900819745968832,0.0540491847581299,0.0532384469867579,0.0717953337537159,0.0628772182686244,0.0932348437077741,0.12485361679128,0.156202143950995,0.170615259886497,0.195117556976849,0.00900819745968832,42,"male",1,291.02,12222,1,1e-07,0.314413508370905,0.00567886892248716
"3","110","estimated","posterior",4,1,0.0309009009009009,0.0735135135135135,0.0116216216216216,0.0502702702702703,0.00900900900900901,0.00900900900900901,0.106306306306306,0.00900900900900901,0.00900900900900901,0.00900900900900901,0.682342342342342,29,"male",1,145.56,22221,1,1e-07,1e-07,0.533706571710207
"4","112","estimated","posterior",4,1,0.00900900900900901,0.0313513513513513,0.0330630630630631,0.0693693693693694,0.0900900900900901,0.108108108108108,0.125585585585586,0.148738738738739,0.177207207207207,0.196036036036036,0.0114414414414414,23,"female",1,249.28,22212,1,1e-07,0.355543790317663,0.00289486619915597
"5","118","estimated","posterior",4,1,0.0178378378378378,0.0178378378378378,0.0178378378378378,0.0178378378378378,0.0714414414414414,0.148738738738739,0.177297297297297,0.263063063063063,0.232432432432432,0.0178378378378378,0.0178378378378378,20,"female",1,241.35,22212,1,0.428478414771348,1.12267962259324,0.0319647538068606
"6","12","estimated","posterior",4,1,0.026749527154823,0.026749527154823,0.0275601188867874,0.026749527154823,0.026749527154823,0.026749527154823,0.026749527154823,0.026749527154823,0.026749527154823,0.731694136719805,0.026749527154823,18,"male",1,260.02,21222,1,1e-07,0.707147066647786,0.392032749706687
"7","121","estimated","posterior",4,1,0.0330630630630631,0.0414414414414414,0.057027027027027,0.0420720720720721,0.0310810810810811,0.333603603603604,0.299459459459459,0.0764864864864865,0.0463963963963964,0.00900900900900901,0.0303603603603604,25,"male",1,182.34,22221,1,0.9999999,0.402800918558194,0.0890730170180188
"8","123","estimated","posterior",4,1,0.0865020724454857,0.041719228689854,0.041719228689854,0.0519913497927555,0.041719228689854,0.041719228689854,0.4541358803388,0.0601910254099838,0.0766804829699045,0.041719228689854,0.0619030455938007,22,"female",1,100.99,12222,1,1e-07,0.20546033634119,0.14799712961679
"9","124","estimated","posterior",4,1,0.0104495090532384,0.0119809026213855,0.0132420502657418,0.0090982794342852,0.0124313124943699,0.0108999189262229,0.303396090442302,0.28294748220881,0.324655436447167,0.0117106566975948,0.00918836140888208,21,"male",1,152.38,12222,1,0.324808789095207,1.91720117581851,0.0478529009393322
"10","125","estimated","posterior",4,1,0.00900982070456798,0.00900982070456798,0.00900982070456798,0.0118028651229841,0.0292819172898459,0.00900982070456798,0.0118028651229841,0.728534102171367,0.0871249662131724,0.0783854401297414,0.0170285611316335,23,"female",1,150.06,22122,1,0.819885610784126,0.633033018643046,0.00322841836113263
