"","n","a","b","gamma","beta","subn","id","x","prior","posterior","infbeta","infgamma","value"
"1",1,0.01,0.01,0.01,0.001,1,1,0,0.438898261735246,0,0.00103375017963524,0.0100020931188323,1.83593473109074e-12
"2",1,0.01,0.01,0.01,0.001,1,1,0.1,0.0238484786402278,0.105769450861279,0.00103375017963524,0.0100020931188323,1.83593473109074e-12
"3",1,0.01,0.01,0.01,0.001,1,1,0.2,0.0135112329154958,0.108602669719844,0.00103375017963524,0.0100020931188323,1.83593473109074e-12
"4",1,0.01,0.01,0.01,0.001,1,1,0.3,0.0103326622570888,0.110227265667819,0.00103375017963524,0.0100020931188323,1.83593473109074e-12
"5",1,0.01,0.01,0.01,0.001,1,1,0.4,0.00905859458800361,0.11132969618667,0.00103375017963524,0.0100020931188323,1.83593473109074e-12
"6",1,0.01,0.01,0.01,0.001,1,1,0.5,0.00870153972787574,0.112122792252229,0.00103375017963524,0.0100020931188323,1.83593473109074e-12
"7",1,0.01,0.01,0.01,0.001,1,1,0.6,0.00905859458800361,0.112692175171478,0.00103375017963524,0.0100020931188323,1.83593473109074e-12
"8",1,0.01,0.01,0.01,0.001,1,1,0.7,0.0103326622570888,0.113065039256785,0.00103375017963524,0.0100020931188323,1.83593473109074e-12
"9",1,0.01,0.01,0.01,0.001,1,1,0.8,0.0135112329154958,0.113214564718875,0.00103375017963524,0.0100020931188323,1.83593473109074e-12
"10",1,0.01,0.01,0.01,0.001,1,1,0.9,0.0238484786402279,0.112976346165021,0.00103375017963524,0.0100020931188323,1.83593473109074e-12
"11",1,0.01,0.01,0.01,0.001,1,1,1,0.438898261735246,0,0.00103375017963524,0.0100020931188323,1.83593473109074e-12
"12",1,0.01,0.01,0.1,0.001,2,2,0,0.438898261735246,0,0.00100565754046373,0.100001322099873,5.3111234558432e-13
"13",1,0.01,0.01,0.1,0.001,2,2,0.1,0.0238484786402278,0.066525739058532,0.00100565754046373,0.100001322099873,5.3111234558432e-13
"14",1,0.01,0.01,0.1,0.001,2,2,0.2,0.0135112329154958,0.0867435179351256,0.00100565754046373,0.100001322099873,5.3111234558432e-13
"15",1,0.01,0.01,0.1,0.001,2,2,0.3,0.0103326622570888,0.100660513646762,0.00100565754046373,0.100001322099873,5.3111234558432e-13
"16",1,0.01,0.01,0.1,0.001,2,2,0.4,0.00905859458800361,0.111207445759837,0.00100565754046373,0.100001322099873,5.3111234558432e-13
"17",1,0.01,0.01,0.1,0.001,2,2,0.5,0.00870153972787574,0.119392773006451,0.00100565754046373,0.100001322099873,5.3111234558432e-13
"18",1,0.01,0.01,0.1,0.001,2,2,0.6,0.00905859458800361,0.125591788068857,0.00100565754046373,0.100001322099873,5.3111234558432e-13
"19",1,0.01,0.01,0.1,0.001,2,2,0.7,0.0103326622570888,0.129793271079003,0.00100565754046373,0.100001322099873,5.3111234558432e-13
"20",1,0.01,0.01,0.1,0.001,2,2,0.8,0.0135112329154958,0.131478587171662,0.00100565754046373,0.100001322099873,5.3111234558432e-13
"21",1,0.01,0.01,0.1,0.001,2,2,0.9,0.0238484786402279,0.12860636427377,0.00100565754046373,0.100001322099873,5.3111234558432e-13
"22",1,0.01,0.01,0.1,0.001,2,2,1,0.438898261735246,0,0.00100565754046373,0.100001322099873,5.3111234558432e-13
"23",1,0.01,0.01,0.5,0.001,3,3,0,0.438898261735246,0,0.00107991655137213,0.500005775024737,7.26626874079377e-12
"24",1,0.01,0.01,0.5,0.001,3,3,0.1,0.0238484786402278,0.00649992225224007,0.00107991655137213,0.500005775024737,7.26626874079377e-12
"25",1,0.01,0.01,0.5,0.001,3,3,0.2,0.0135112329154958,0.0245099524817285,0.00107991655137213,0.500005775024737,7.26626874079377e-12
"26",1,0.01,0.01,0.5,0.001,3,3,0.3,0.0103326622570888,0.0515838574811053,0.00107991655137213,0.500005775024737,7.26626874079377e-12
"27",1,0.01,0.01,0.5,0.001,3,3,0.4,0.00905859458800361,0.0849008038732237,0.00107991655137213,0.500005775024737,7.26626874079377e-12
"28",1,0.01,0.01,0.5,0.001,3,3,0.5,0.00870153972787574,0.121098704753501,0.00107991655137213,0.500005775024737,7.26626874079377e-12
"29",1,0.01,0.01,0.5,0.001,3,3,0.6,0.00905859458800361,0.155972736181131,0.00107991655137213,0.500005775024737,7.26626874079377e-12
"30",1,0.01,0.01,0.5,0.001,3,3,0.7,0.0103326622570888,0.183856502312761,0.00107991655137213,0.500005775024737,7.26626874079377e-12
"31",1,0.01,0.01,0.5,0.001,3,3,0.8,0.0135112329154958,0.196079619853828,0.00107991655137213,0.500005775024737,7.26626874079377e-12
"32",1,0.01,0.01,0.5,0.001,3,3,0.9,0.0238484786402279,0.175497900810482,0.00107991655137213,0.500005775024737,7.26626874079377e-12
"33",1,0.01,0.01,0.5,0.001,3,3,1,0.438898261735246,0,0.00107991655137213,0.500005775024737,7.26626874079377e-12
"34",1,0.01,0.01,1,0.001,4,4,0,0.438898261735246,0,0.000994908648135524,1.00000512982905,5.59988392956034e-13
"35",1,0.01,0.01,1,0.001,4,4,0.1,0.0238484786402278,0.00027691215336416,0.000994908648135524,1.00000512982905,5.59988392956034e-13
"36",1,0.01,0.01,1,0.001,4,4,0.2,0.0135112329154958,0.00393785802696463,0.000994908648135524,1.00000512982905,5.59988392956034e-13
"37",1,0.01,0.01,1,0.001,4,4,0.3,0.0103326622570888,0.0174428700604365,0.000994908648135524,1.00000512982905,5.59988392956034e-13
"38",1,0.01,0.01,1,0.001,4,4,0.4,0.00905859458800361,0.0472519798822115,0.000994908648135524,1.00000512982905,5.59988392956034e-13
"39",1,0.01,0.01,1,0.001,4,4,0.5,0.00870153972787574,0.0961340212563616,0.000994908648135524,1.00000512982905,5.59988392956034e-13
"40",1,0.01,0.01,1,0.001,4,4,0.6,0.00905859458800361,0.159475432102464,0.000994908648135524,1.00000512982905,5.59988392956034e-13
"41",1,0.01,0.01,1,0.001,4,4,0.7,0.0103326622570888,0.22158905298999,0.000994908648135524,1.00000512982905,5.59988392956034e-13
"42",1,0.01,0.01,1,0.001,4,4,0.8,0.0135112329154958,0.252022913725736,0.000994908648135524,1.00000512982905,5.59988392956034e-13
"43",1,0.01,0.01,1,0.001,4,4,0.9,0.0238484786402279,0.201868959802472,0.000994908648135524,1.00000512982905,5.59988392956034e-13
"44",1,0.01,0.01,1,0.001,4,4,1,0.438898261735246,0,0.000994908648135524,1.00000512982905,5.59988392956034e-13
